Industry,Number_of_Firms
Utilities,54
Manufacturing,2220
Wholesale trade,4693
Retail trade,4620
Transportation and warehousing (106),1132
Information,572
Finance and insurance,2079
Real estate and rental and leasing,1538
"Professional, scientific, and technical services",5632
Administrative and support and waste management and remediation services,2701
Educational services,970
Health care and social assistance,9753
"Arts, entertainment, and recreation",1933
Accommodation and food services,4329
Other services (except public administration),9498