index,Industry,pt1970,pt1980,pt1990
0,Extractive,1.6,1.8,1.4
1,Communication,2.9,2.8,2.8
2,Public Administration,4.1,3.4,3.1
3,Personal Services,4.3,3.5,4
4,Nondurable Manufacturing,5.8,5,4.3
5,Wholesale,4,4.2,4.6
6,Business Services,3.3,4.8,4.8
7,Transportation,4.2,3.9,5.3
8,Constrution,5.3,5.3,5.9
9,Financial Services,4.5,5.4,7.1
10,Other Professional Services,4.2,4.4,7.4
11,Education,7.4,8.1,8.5
12,Durable Manufacturing,25.9,20.6,10.2
13,Health Services,6.2,8.7,11.6
14,Ratail,16.4,17.1,20